Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2195.11,210,10.45,213,11.15,210,10.45,5.46
Table Service,927.88,84,11.05,52,19.32,50,18.56,47.59
Total,3122.99,294,10.62,265,12.76,260,12.01,13.56
