Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,770.0,2638.89,9.58,0.0,2648.47,217.45
NA Beverage,194.0,484.1,1.58,0.0,485.68,39.88
Total,964.0,3122.99,11.16,0.0,3134.15,257.33
