Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,1160.0,3965.09,35.72,0.0,4000.81,326.85
NA Beverage,281.0,652.29,3.99,0.0,656.28,53.68
Total,1441.0,4617.38,39.71,0.0,4657.09,380.53
