Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,841.0,2812.25,39.71,0.0,2851.96,231.92
Drive Thru,600.0,1805.13,0.0,0.0,1805.13,148.61
Total,1441.0,4617.38,39.71,0.0,4657.09,380.53
