Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,89,2737.61,60.65,2798.26,225.83
Drive Thru,116,1620.16,19.61,1639.77,133.77
Take Out,16,284.25,1.0,285.25,23.46
Total,221,4642.02,81.26,4723.28,383.06
