Hour of day,Net sales,Total orders,Total guests
8,458.13,29,41
14,103.07,7,9
11,731.27,30,48
18,473.93,12,24
17,257.12,10,15
7,101.2,11,11
9,589.77,37,52
12,524.82,17,35
16,236.05,7,13
20,76.0,2,2
13,362.62,16,24
15,113.12,6,7
10,289.63,19,24
19,196.06,7,14
6,129.23,11,11
