Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,1978.14,138,14.33,139,15.41,138,14.33,11.24
Table Service,2663.88,192,13.87,91,31.69,83,32.09,38.41
Total,4642.02,330,14.07,230,21.85,221,21.00,21.44
