Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,809.0,3845.66,80.89,0.0,3926.55,317.32
NA Beverage,262.0,658.76,0.37,0.0,659.13,54.38
Liquor,17.0,118.84,0.0,0.0,118.84,9.8
Draft Beer,4.0,18.76,0.0,0.0,18.76,1.56
Total,1092.0,4642.02,81.26,0.0,4723.28,383.06
