Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,65,1895.8,9.26,1905.06,156.39
Drive Thru,102,1205.34,6.44,1211.78,99.45
Take Out,25,456.6,42.76,499.36,37.66
Total,192,3557.74,58.46,3616.20,293.50
