Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Bar,2.0,25.73,0.0,0.0,25.73,2.13
Dining Room,572.0,2502.75,52.02,0.0,2554.77,206.45
Drive Thru,311.0,1019.28,6.44,0.0,1025.72,84.1
No Revenue Center,2.0,9.98,0.0,0.0,9.98,0.82
Total,887.0,3557.74,58.46,0.0,3616.20,293.50
