Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,110,2701.63,34.92,2736.55,222.49
Drive Thru,159,2114.75,4.3,2119.05,174.36
Take Out,22,251.79,0.0,251.79,20.74
Total,291,5068.17,39.22,5107.39,417.59
