Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,143,4973.21,38.92,5012.13,409.74
Drive Thru,210,2619.09,13.38,2632.47,215.81
Take Out,38,563.15,13.99,577.14,46.42
Total,391,8155.45,66.29,8221.74,671.97
