Payment type,Payment sub type,Count,Amount,Tips,Grat,Tax amount,Refunds,Tip refunds,Legacy tips,Total,Tips/Grat %
Cash,,96,1741.83,0.0,25.78,132.6,0.0,0.0,0.00,1767.61,1.6
Credit/debit,,320,7085.59,527.32,153.53,539.37,0.0,0.0,527.32,7766.44,10.4
Credit/debit,AMEX,7,221.65,30.3,0.0,16.85,0.0,0.0,30.30,251.95,14.8
Credit/debit,DISCOVER,3,71.37,4.0,0.0,5.42,0.0,0.0,4.00,75.37,6.1
Credit/debit,MASTERCARD,124,2895.22,168.44,92.83,220.41,0.0,0.0,168.44,3156.49,9.8
Credit/debit,VISA,186,3897.35,324.58,60.7,296.69,0.0,0.0,324.58,4282.63,10.7
Gift Card,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
Other,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
Total,,416,8827.42,527.32,179.31,671.97,0.0,0.0,527.32,9534.05,8.7
