Payment Id,Check Id,Check #,Table,Payment Type,Server,Cashier,Tip,Amount,Cash Drawer,Date,Opened Date
800000029746081549,800000029746063939,1,,CASH,Cin,Cin,0.00,8.62,Drive Thru Cash Drawer,9/19/25 6:07 AM,9/19/25 6:05 AM
800000029746087947,800000029746087943,3,,CREDIT,Martina,AM,2.00,6.46,,9/19/25 6:08 AM,9/19/25 6:08 AM
800000029746115480,800000029746103825,5,,CREDIT,Cin,Cin,0.00,4.30,,9/19/25 6:11 AM,9/19/25 6:10 AM
800000029746125751,800000029746125567,7,,CASH,AM,AM,0.00,5.17,Front Box Cash Drawer,9/19/25 6:12 AM,9/19/25 6:12 AM
800000029746209909,800000029746201286,8,,CASH,Cin,Cin,0.00,4.63,Drive Thru Cash Drawer,9/19/25 6:24 AM,9/19/25 6:23 AM
800000029746221655,800000029746205319,9,,CASH,Cin,Cin,0.00,6.46,Drive Thru Cash Drawer,9/19/25 6:25 AM,9/19/25 6:23 AM
800000029746236099,800000029746228032,12,,CREDIT,Cin,Cin,0.00,4.30,,9/19/25 6:27 AM,9/19/25 6:26 AM
800000029746260307,800000029746235856,13,,CASH,Cin,Cin,0.00,8.03,Drive Thru Cash Drawer,9/19/25 6:30 AM,9/19/25 6:27 AM
800000029746297711,800000029746280810,10,,CREDIT,Cin,Cin,0.00,27.43,,9/19/25 6:34 AM,9/19/25 6:32 AM
800000029746318086,800000029746286821,14,,CREDIT,Cin,Cin,0.00,12.73,,9/19/25 6:37 AM,9/19/25 6:33 AM
800000029746333309,800000029746288093,15,,CREDIT,Cin,Cin,0.00,8.91,,9/19/25 6:38 AM,9/19/25 6:33 AM
800000029746334482,800000029746113423,6,4,CREDIT,Martina,AM,0.00,10.55,,9/19/25 6:38 AM,9/19/25 6:11 AM
800000029746347887,800000029746328538,16,,CREDIT,Cin,Cin,0.00,14.55,,9/19/25 6:40 AM,9/19/25 6:38 AM
800000029746373792,800000029746337209,17,,CREDIT,Cin,Cin,0.00,4.96,,9/19/25 6:42 AM,9/19/25 6:39 AM
800000029746385337,800000029746346712,21,,CREDIT,Cin,Cin,0.00,6.45,,9/19/25 6:43 AM,9/19/25 6:39 AM
800000029746393252,800000029746380198,23,,CASH,Cin,Cin,0.00,5.39,Drive Thru Cash Drawer,9/19/25 6:44 AM,9/19/25 6:43 AM
800000029746425603,800000029746410088,26,,CREDIT,Cin,Cin,0.00,8.94,,9/19/25 6:47 AM,9/19/25 6:45 AM
800000029746451611,800000029746416362,28,,CREDIT,Cin,Cin,0.00,8.62,,9/19/25 6:49 AM,9/19/25 6:46 AM
800000029746459806,800000029746434538,29,,CREDIT,Cin,Cin,0.00,7.00,,9/19/25 6:50 AM,9/19/25 6:48 AM
800000029746464997,800000029746448556,30,,CREDIT,Cin,Cin,0.00,4.31,,9/19/25 6:50 AM,9/19/25 6:49 AM
800000029746506944,800000029746486207,31,,CREDIT,Cin,Cin,1.00,4.96,,9/19/25 6:54 AM,9/19/25 6:52 AM
800000029746516611,800000029746410816,27,4,CASH,Martina,AM,0.00,8.03,Front Box Cash Drawer,9/19/25 6:55 AM,9/19/25 6:45 AM
800000029746517087,800000029746502925,32,,CREDIT,Cin,Cin,0.00,37.96,,9/19/25 6:55 AM,9/19/25 6:54 AM
800000029746555102,800000029746372383,19,,CASH,AM,AM,0.00,10.14,Front Box Cash Drawer,9/19/25 6:58 AM,9/19/25 6:42 AM
800000029746560787,800000029746086642,2,17,CASH,Martina,AM,0.00,14.91,Front Box Cash Drawer,9/19/25 6:59 AM,9/19/25 6:07 AM
800000029746582942,800000029746519925,34,,CASH,Cin,Cin,0.00,6.79,Drive Thru Cash Drawer,9/19/25 7:00 AM,9/19/25 6:55 AM
800000029746589720,800000029746530390,38,,CREDIT,Cin,Cin,1.00,7.51,,9/19/25 7:01 AM,9/19/25 6:56 AM
800000029746656779,800000029746643153,39,,CREDIT,Cin,Cin,0.00,5.06,,9/19/25 7:05 AM,9/19/25 7:04 AM
800000029746659253,800000029746344123,20,2,CREDIT,Martina,AM,0.00,29.14,,9/19/25 7:05 AM,9/19/25 6:39 AM
800000029746680769,800000029746653274,40,,CASH,Cin,Cin,0.00,10.31,Drive Thru Cash Drawer,9/19/25 7:07 AM,9/19/25 7:05 AM
800000029746740831,800000029746705135,42,,CASH,Cin,Cin,0.00,2.15,Drive Thru Cash Drawer,9/19/25 7:11 AM,9/19/25 7:09 AM
800000029746749333,800000029746720461,44,,CASH,Cin,Cin,0.00,5.56,Drive Thru Cash Drawer,9/19/25 7:11 AM,9/19/25 7:09 AM
