Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,3181.89,247,12.88,253,13.61,247,12.88,6.34
Table Service,1211.04,105,11.53,51,25.70,51,23.75,33.82
Total,4392.93,352,12.48,304,15.64,298,14.74,11.04
