Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,1091.0,3744.13,6.17,0.0,3750.3,308.56
NA Beverage,262.0,648.8,0.0,0.0,648.8,53.33
Total,1353.0,4392.93,6.17,0.0,4399.1,361.89
