Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2058.75,155,13.28,156,14.29,155,13.28,7.45
Table Service,1873.17,128,14.63,70,28.97,61,30.71,38.92
Total,3931.92,283,13.89,226,18.83,216,18.20,16.34
