Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,64,1979.22,48.53,2027.75,163.27
Drive Thru,128,1633.78,15.75,1649.53,134.73
Take Out,24,318.92,5.45,324.37,26.36
Total,216,3931.92,69.73,4001.65,324.36
