Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,50,951.41,11.35,962.76,78.41
Drive Thru,194,2332.15,0.0,2332.15,192.12
Take Out,37,573.37,15.14,588.51,47.19
Total,281,3856.93,26.49,3883.42,317.72
