Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2492.41,228,10.93,233,11.58,228,10.93,5.25
Table Service,1273.14,94,13.54,53,26.00,44,28.94,37.14
Total,3765.55,322,11.69,286,14.25,272,13.84,10.41
