Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,1510.43,114,13.25,115,14.22,113,13.37,10.25
Table Service,1494.81,110,13.59,56,28.90,53,28.20,40.47
Total,3005.24,224,13.42,171,19.02,166,18.10,19.89
