Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,535.0,2227.33,127.07,0.0,2354.4,183.71
Drive Thru,339.0,1142.85,20.4,0.0,1163.25,94.29
No Revenue Center,13.0,17.59,31.7,0.0,49.29,1.45
Total,887.0,3387.77,179.17,0.0,3566.94,279.45
