Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,1544.54,126,12.26,124,13.48,125,12.36,10.77
Table Service,1843.23,123,14.99,66,30.23,63,29.26,42.10
Total,3387.77,249,13.61,190,19.30,188,18.02,21.27
