Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,946.0,4933.85,49.54,0.0,4983.39,407.03
NA Beverage,325.0,978.17,2.94,0.0,981.11,80.59
Liquor,33.0,292.43,2.29,0.0,294.72,24.06
Draft Beer,4.0,15.76,0.0,0.0,15.76,1.29
Total,1308.0,6220.21,54.77,0.0,6274.98,512.97
