Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,90,3811.02,42.04,3853.06,314.23
Drive Thru,130,1829.19,12.73,1841.92,150.87
Take Out,38,580.0,0.0,580.0,47.87
Total,258,6220.21,54.77,6274.98,512.97
