Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2877.82,172,16.73,172,18.11,172,16.73,11.24
Table Service,3678.17,264,13.93,107,37.21,101,36.42,41.74
Total,6555.99,436,15.04,279,25.44,273,24.01,22.52
