Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,718.0,2365.27,15.52,0.0,2380.79,194.84
Drive Thru,413.0,1305.47,0.0,0.0,1305.47,107.54
Total,1131.0,3670.74,15.52,0.0,3686.26,302.38
