Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,57,1621.53,9.18,1630.71,133.62
Drive Thru,115,1725.36,0.0,1725.36,142.07
Take Out,23,323.85,6.34,330.19,26.69
Total,195,3670.74,15.52,3686.26,302.38
