Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,872.0,3082.37,15.52,0.0,3097.89,253.98
NA Beverage,259.0,588.37,0.0,0.0,588.37,48.4
Total,1131.0,3670.74,15.52,0.0,3686.26,302.38
