Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,3940.75,259,15.22,254,16.79,259,15.22,11.62
Table Service,5791.12,424,13.66,190,32.99,176,32.90,40.70
Total,9731.87,683,14.25,444,23.72,435,22.37,23.39
