Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,125,4737.8,63.4,4801.2,390.64
Drive Thru,141,2233.43,12.14,2245.57,184.15
Take Out,13,178.58,5.98,193.55,14.68
Total,279,7149.81,81.52,7240.32,589.47
