Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2418.99,157,15.41,155,16.89,157,15.41,11.45
Table Service,4730.82,354,13.36,141,36.32,122,38.78,41.02
Total,7149.81,511,13.99,296,26.15,279,25.63,24.38
