Hour of day,Net sales,Total orders,Total guests
10,1476.69,57,106
8,539.92,32,41
13,1080.37,34,71
12,1416.62,46,103
7,13.97,1,1
14,445.72,14,27
11,1286.21,52,100
9,890.31,43,62
