Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,778.0,3580.06,55.77,0.0,3635.83,295.16
Drive Thru,443.0,1492.18,0.0,0.0,1492.18,123.2
No Revenue Center,28.0,113.08,12.34,0.0,125.42,9.32
Total,1249.0,5185.32,68.11,0.0,5253.43,427.68
