Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,91,2872.35,51.03,2923.38,236.78
Drive Thru,136,1783.5,2.88,1786.38,147.22
Take Out,28,529.47,14.2,543.67,43.68
Total,255,5185.32,68.11,5253.43,427.68
