Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2360.6,167,14.14,169,15.12,167,14.14,9.78
Table Service,2824.72,193,14.64,91,33.60,88,32.10,39.61
Total,5185.32,360,14.40,260,21.59,255,20.33,20.07
