Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,56,1838.09,46.13,1884.22,151.55
Drive Thru,105,1219.13,15.14,1234.27,100.53
Take Out,17,338.61,3.5,342.11,27.92
Total,178,3395.83,64.77,3460.60,280.00
