Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,483.0,2255.48,14.19,0.0,2269.67,185.99
Drive Thru,338.0,1074.91,15.14,0.0,1090.05,88.61
No Revenue Center,22.0,65.44,35.44,0.0,100.88,5.4
Total,843.0,3395.83,64.77,0.0,3460.60,280.00
