Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,639.0,2692.36,60.35,0.0,2752.71,222.05
NA Beverage,179.0,573.76,3.48,0.0,577.24,47.25
Liquor,18.0,99.82,0.0,0.0,99.82,8.23
Draft Beer,7.0,29.89,0.94,0.0,30.83,2.47
Total,843.0,3395.83,64.77,0.0,3460.60,280.00
