Service / day part,Orders,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Breakfast,69,853.22,44.73,0.0,897.95,70.31
Lunch,55,1130.4,12.09,0.0,1142.49,93.22
Dinner,36,1177.29,7.95,0.0,1185.24,97.09
No Service,18,234.92,0.0,0.0,234.92,19.38
Total,178,3395.83,64.77,0.0,3460.60,280.00
