Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,1518.0,5504.55,73.73,0.0,5578.28,453.52
No Revenue Center,1.0,0.0,8.99,0.0,8.99,0.0
Total,1519.0,5504.55,82.72,0.0,5587.27,453.52
