Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,99,2480.41,74.23,2554.64,204.31
Drive Thru,211,2477.6,3.93,2481.53,204.17
Take Out,24,546.54,4.56,551.1,45.04
Total,334,5504.55,82.72,5587.27,453.52
