Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2670.3,214,12.48,212,13.63,214,12.48,13.04
Table Service,3544.96,364,9.74,158,24.29,124,28.59,40.91
Total,6215.26,578,10.75,370,18.18,338,18.39,23.27
