Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,1266.0,5056.38,62.93,0.0,5119.31,416.8
NA Beverage,453.0,990.68,1.48,0.0,992.16,81.45
Liquor,25.0,144.26,0.0,0.0,144.26,11.91
Bottled Beer,6.0,23.94,0.0,0.0,23.94,1.98
Total,1750.0,6215.26,64.41,0.0,6279.67,512.14
