Hour of day,Net sales,Total orders,Total guests
14,261.45,13,41
8,423.0,44,49
7,302.79,24,26
20,80.74,3,5
6,146.86,17,17
10,672.88,40,59
12,941.27,40,67
19,402.67,13,61
18,91.35,5,6
17,840.97,19,83
15,173.87,11,14
13,261.65,15,18
16,99.25,7,8
9,844.31,48,72
11,672.2,39,52
