Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,1750.0,6215.26,64.41,0.0,6279.67,512.14
Total,1750.0,6215.26,64.41,0.0,6279.67,512.14
