Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2045.46,149,13.73,146,15.17,149,13.73,15.69
Table Service,2235.63,184,12.15,60,40.33,59,37.89,52.42
Total,4281.09,333,12.86,206,22.50,208,20.58,26.11
