Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,560.0,2961.08,9.5,0.0,2970.58,244.07
Drive Thru,368.0,1277.11,11.39,0.0,1288.5,105.39
No Revenue Center,22.0,42.9,63.98,0.0,106.88,3.54
Total,950.0,4281.09,84.87,0.0,4365.96,353.00
