Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,67,2356.53,73.48,2430.01,194.23
Drive Thru,120,1666.47,11.39,1677.86,137.48
Take Out,21,258.09,0.0,258.09,21.29
Total,208,4281.09,84.87,4365.96,353.00
