Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,722.0,3546.37,79.84,0.0,3626.21,292.48
NA Beverage,207.0,603.63,5.03,0.0,608.66,49.69
Liquor,12.0,90.88,0.0,0.0,90.88,7.5
Draft Beer,9.0,40.21,0.0,0.0,40.21,3.33
Total,950.0,4281.09,84.87,0.0,4365.96,353.00
