Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,154,4932.04,88.81,5020.85,406.32
Drive Thru,217,3062.92,5.09,3068.01,252.44
Take Out,25,412.2,4.39,416.59,33.98
Total,396,8407.16,98.29,8505.45,692.74
