Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,1583.0,6707.05,94.59,0.0,6801.64,552.92
NA Beverage,548.0,1214.21,3.7,0.0,1217.91,99.73
Liquor,49.0,343.1,0.0,0.0,343.1,28.29
Bottled Beer,11.0,43.89,0.0,0.0,43.89,3.63
Draft Beer,9.0,98.91,0.0,0.0,98.91,8.17
Total,2200.0,8407.16,98.29,0.0,8505.45,692.74
