Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,2200.0,8407.16,98.29,0.0,8505.45,692.74
Total,2200.0,8407.16,98.29,0.0,8505.45,692.74
