Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,3495.81,246,14.21,245,15.44,246,14.21,12.08
Table Service,4911.35,350,14.03,188,28.28,150,32.74,45.29
Total,8407.16,596,14.11,433,21.02,396,21.23,24.66
