Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,593.0,2131.8,16.32,0,2148.12,175.58
Drive Thru,238.0,751.19,0.0,0,751.19,61.84
Total,831.0,2882.99,16.32,0,2899.31,237.42
