Hour of day,Net sales,Total orders,Total guests
6,184.24,24,25
7,219.76,29,29
8,198.48,19,20
9,410.42,33,40
10,308.32,24,28
11,323.03,23,28
12,291.51,19,25
13,204.37,14,16
14,80.89,6,6
15,224.76,11,13
16,178.56,13,15
17,166.31,11,14
18,92.34,7,7
