Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Bar,14.0,39.58,0.0,0.0,39.58,3.26
Dining Room,575.0,3118.11,37.72,0.0,3155.83,257.19
Drive Thru,572.0,2089.75,21.68,0.0,2111.43,172.3
No Revenue Center,12.0,0.0,45.03,0.0,45.03,0.0
Total,1173.0,5247.44,104.43,0.0,5351.87,432.75
