Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,3325.98,203,16.38,210,17.14,203,16.38,12.29
Table Service,4481.37,383,11.70,129,37.61,123,36.43,42.49
Total,7807.35,586,13.32,339,24.93,326,23.95,23.69
