Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,1189.0,5182.58,115.0,0.0,5297.58,427.6
Drive Thru,846.0,2624.77,15.48,0.0,2640.25,216.49
Total,2035.0,7807.35,130.48,0.0,7937.83,644.09
