Discount,Count,Orders,Amount
Reward Dollars,2,2,13.3
Birthday Rewards,1,1,5.0
Employee Discount - Check,2,2,42.23
Open $ Check,1,1,3.99
Open % Check,3,3,7.49
Total,9,9,72.01
