Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,3858.31,257,15.01,258,16.19,257,15.01,9.77
Table Service,5306.91,389,13.64,179,32.09,158,33.59,43.44
Total,9165.22,646,14.19,437,22.70,415,22.08,22.59
