Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,1936.0,7492.16,77.7,0.0,7569.86,617.7
NA Beverage,603.0,1382.94,0.0,0.0,1382.94,113.6
Liquor,41.0,234.18,0.0,0.0,234.18,19.34
Bottled Beer,1.0,3.99,0.0,0.0,3.99,0.33
Draft Beer,5.0,51.95,0.0,0.0,51.95,4.3
Total,2586.0,9165.22,77.7,0.0,9242.92,755.27
