Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,35,860.02,5.61,865.63,70.96
Drive Thru,185,2705.71,0.0,2705.71,222.84
Take Out,39,526.82,7.02,533.84,43.43
Total,259,4092.55,12.63,4105.18,337.23
