Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,3225.09,224,14.40,228,15.31,224,14.40,7.58
Table Service,867.46,73,11.88,36,26.08,35,24.78,32.68
Total,4092.55,297,13.78,264,16.78,259,15.80,10.97
